date,EQ_P_OilGasProd,EQ_P_Coal,EQ_P_GoldSilver,EQ_P_BaseMetalMine,EQ_P_OtherMines,EQ_P_AgFarms,EQ_P_CottonForest,EQ_P_NatGasUtil,EQ_X_Refining,EQ_X_Chemicals,EQ_X_RubberPlastic,EQ_X_SteelPrimary,EQ_X_AlumFabMetal,EQ_X_FoodGrain,EQ_X_SugarOils,EQ_X_MeatDairy,EQ_X_PaperWood
1994-08-31,-0.011990389899371064,,0.04621344341040236,0.038128553726726674,,-0.0019419995970165603,0.07801286955015056,0.007236532812703656,0.003262521257024248,0.09408399205700238,0.037855656564849384,0.03874323590067958,0.05164060631962443,0.07569692759595664,0.04522742504529541,0.08387302542396412,0.06415551685868165
1994-09-30,0.01003016413178469,,0.09477091217567245,-0.003994969474315115,,0.027556214214400115,-0.008029588953686218,-0.034175666930653416,-0.03429620246006198,0.0006464743058566232,-0.04829378858568321,0.005679749271717495,-0.01787852806106063,0.00257095165346848,-0.026727900066060833,-0.004770384637918997,0.00013288749503647434
1994-10-31,0.059203424818108245,,-0.11214049327146458,-0.037242373268331345,,0.044707624320770877,-0.05854077440195287,0.012939550009362399,0.08560193238496007,0.013378213353303386,0.019825764367973495,-0.032694689765315796,0.001164249796040104,0.024901989799242814,0.062305322080562574,0.023294961926375098,-0.049817570236223754
1994-11-30,-0.07182790968846792,-0.11867581067486258,-0.12098575772586512,-0.06035763732063719,,-0.00934203924177535,-0.07402492553680043,-0.03364622549427135,-0.03087002306648468,-0.015048299448346413,-0.044427402304852016,-0.08477648052244872,-0.05755314799572845,-0.04076513137826721,0.012924254429796524,-0.015561382636501957,-0.039769602817023214
1994-12-31,-0.02032102259581591,0.04330986344282871,0.034510916222675485,-0.004008992758009647,,0.01365284731577971,0.021874698438666716,0.015227964718997221,-0.001968721544773804,0.012204096941448975,0.01764273862094521,0.018558639156064306,0.03664820398750065,0.04602396486716554,0.04700572054345222,-0.0018215272415173915,0.03544351240009788
1995-01-31,-0.030172685570777937,-0.012813209450529503,-0.1106677255001625,0.01194801181734159,,0.05231167660401845,0.0027744239997601916,0.04883516128217244,0.022626654641298632,0.03251002643533922,0.00984932565287633,-0.04840785788232463,-0.011618314819028542,0.0010363814152016216,-0.04953198333610395,0.050895259996130975,-0.013402005190497484
1995-02-28,0.05640763132960668,-0.029933230145341792,0.048324647242162316,0.031191122179880723,,-0.06936967734752406,0.06690070533228287,0.02919651452999665,0.0388941347446609,0.03713813512499034,0.03988310690962696,0.03251446415504139,0.042639971923982584,0.0075861059722493705,0.02557474735795159,0.00803913172495905,0.08822513832263058
1995-03-31,0.07687781278204327,0.047883193524300455,0.16851612807170754,0.042685080754611845,,0.06827581069747601,0.015410837468640852,-0.010931142070077986,0.04136493093309296,0.02728601599565437,0.039609381020036825,0.02124207006267825,0.03374317635181378,0.020776533717147223,0.0003403109761804575,0.016893455436250048,0.018553392294254428
1995-04-30,0.031505293032521836,-0.058040885270828485,-0.028632374473330627,0.004336946587510602,,0.02574874699459458,-0.013239175266189465,0.020022731777995982,0.021440888107635902,0.03480240325639676,-0.00020945460392670262,-0.010137971483019296,0.015347035555029417,0.03472497211857064,0.016075649296053932,0.03494253135344899,0.01577407236044397
1995-05-31,0.03798533346707975,0.027337175346378847,-0.004771402261520088,-0.0017468100187060908,,0.040898418943794576,-0.007319255851762777,0.05345959825683898,0.039478024978597336,0.02941709048839307,0.044317210194917564,0.026695769428457448,0.029040093940852673,0.028401579867904675,0.003989787647553098,0.005369943896318025,0.022016812145199995
1995-06-30,-0.02371491533608381,0.005284903508515576,-0.012192933994840722,0.04776167343800332,,0.06258523793345717,0.12073718115128762,-0.0116904975619451,-0.03459243304269489,0.03163712382036719,-0.025558110474177182,0.023610355001998144,0.050131264262274475,0.022282039895751598,0.045558691286747194,0.007161370810254526,0.04074188857418443
1995-07-31,0.015321254024411464,0.022948351802967226,0.03687414215276,0.039808544327798394,,0.004188535027829576,0.03254428388434945,-0.006199278006982991,0.03257015905767004,0.027319376295215702,0.05452903078808145,0.0251637457105997,0.04262692870196161,0.009279232599686528,0.001955509502736472,-0.0048851367022254245,0.013169693220670313
